id,templateName,slug,emailDescription,subject,emailTitle,emailContent,isActive,createdAt,updatedAt
10,Phone Number Change From Profile OTP,phone-number-change-from-profile-otp,Phone Number Change From Profile OTP,OTP to Change Phone Number,OTP to Change Phone Number,"Dear {member},To verify a change to your phone number, please use the {otp_code} OTP code.",True,2022-11-08 17:26:05.614 +0545,2023-01-19 22:31:42.983 +0545
19,Registration Submitted for Merchant,registration-submitted-for-merchant,Email sent to Merchant when they successfully submit the EOI form,Registration Successfully Submitted,Registration Successfully Submitted,"Dear {username},Your registration has been successfully submitted. You will soon receive a confirmation email.",True,2022-11-09 09:23:58.387 +0545,2023-04-02 12:03:24.974 +0545
20,Registration Approved,registration-approved,Registration Approved,Registration Verified,Registration Verified,"Dear {merchant},&nbsp;A New merchant registration has been received.&nbsp;&nbsp;Merchant name : {merchantname}Email:{merchantemail}Phone:{merchantphone}&nbsp;Login to your Dashboard to view this request.",True,2022-11-09 09:25:45.308 +0545,2023-09-07 11:59:26.217 +0545
13,Nominate a Merchant,nominate-a-merchant,Email sent to country owner when any merchant is nominated by member.,New Merchant Referral Request Received,New Merchant Referral Request Received,"Dear {countryadmin},&nbsp;A New merchant referral request has been received.&nbsp;&nbsp;Merchant name : {merchantname}&nbsp;Email : {merchantemail}&nbsp;Phone : {merchantphone}&nbsp;&nbsp;Referral member name :{member}&nbsp;Login to your Dashboard to view this request.",True,2022-11-08 17:35:26.393 +0545,2023-09-07 12:04:53.750 +0545
91,Merchant Agreement Rejected,merchant-agreement-rejected,Merchant Agreement Rejected,Merchant Agreement Rejected,Merchant Agreement Rejected,"Dear {merchant},The issuer agreement you submitted could not be verified. Please fix the issues mentioned below and re-submit the agreement from Agreement &gt; Issuer Agreement section.Issues:{issues_description}",False,2022-11-09 16:23:28.031 +0545,2023-01-31 11:30:29.209 +0545
11,Phone Number Change From Profile Success,phone-number-change-from-profile-success,Email sent to member when they successfully change phone number from their profile.,Phone Number Changed Successfully,Phone Number Changed Successfully,"Dear{member},&nbsp;You request to change the phone number has been completed.",True,2022-11-08 17:31:49.316 +0545,2023-04-02 13:19:07.472 +0545
179,Club Registration Unsuccessful for state owner,club-registration-unsuccessful-for-state-owner,This email is sent to State Owners when the club requested by them is rejected.,Club Request Rejected,Club Request Rejected,"Dear {stateowner},Sorry! Your requested club with following details can't be approved in the TouristSaver system due to below mentioned issues.&nbsp;Club Name : {club_name}Email : {club_email}Phone : {club_phone}&nbsp;Issues:&nbsp;{issues_description}Please contact TouristSaver.",True,2022-11-15 12:52:18.095 +0545,2023-04-02 13:34:48.283 +0545
163,Club Registration Successful for white label user,club-registration-successful-for-white-label-user,This email is sent to White Label Users when the club requested by them is approved. ,Club Registration Successful,Club Registration Successful,"Dear {whitelabeluser},Congratulations!! Your requested club with following details has been successfully registered in the TouristSaver System.&nbsp;Club Name: {club_name}Email: {club_email}Phone: {club_phone}Please encourage this club to sign the club agreement so that they can issue membership.
",True,2022-11-13 11:10:50.605 +0545,2023-04-02 13:31:26.478 +0545
18,Account Expired,account-expired,Email sent to member when their account expires,Accunt Expired,Accunt Expired,"Dear {member},&nbsp;Your TouristSaver account has reached its expiration date. To continue using the TouristSaver system, please renew your account.",True,2022-11-08 17:48:48.724 +0545,2023-04-02 13:07:57.149 +0545
12,Topup Piiink,topup-piiink,Email sent to member when they successfully topup their Universal Piinks,Topup Successful,Topup Successful,"Dear {member},&nbsp;You have successfully topped up {TouristSavers} TouristSavers in your universal wallet. To view this, log into your TouristSaver App.",True,2022-11-08 17:33:27.818 +0545,2023-09-07 12:06:37.727 +0545
